City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
275,Ponta Do Sol,PT,2021-04-25 00:01:28,32.6667,-17.1,57.0,84,46,1.99
276,San Cristobal,VE,2021-04-25 00:02:55,7.7669,-72.225,80.6,83,75,9.22
277,Vila Velha,BR,2021-04-25 00:04:46,-20.3297,-40.2925,75.2,83,75,1.14
278,Ancud,CL,2021-04-25 00:05:38,-41.8697,-73.8203,55.99,93,90,5.75
279,Mecca,SA,2021-04-25 00:05:38,21.4267,39.8261,83.43,39,98,0.98
280,Dandong,CN,2021-04-25 00:05:39,40.1292,124.3947,55.27,25,3,16.73
281,Sibolga,ID,2021-04-25 00:05:39,1.7427,98.7792,75.45,86,100,2.59
282,Mount Gambier,AU,2021-04-25 00:05:39,-37.8333,140.7667,55.4,94,90,5.75
283,Coldingham,GB,2021-04-25 00:05:40,55.8868,-2.157,36.0,89,55,3.76
284,Filingue,NE,2021-04-25 00:05:40,14.3521,3.3168,88.52,8,14,5.93
285,Areia Branca,BR,2021-04-25 00:05:41,-4.9561,-37.1369,80.96,78,77,16.26
286,Nenjiang,CN,2021-04-25 00:05:41,49.1833,125.2167,45.46,39,3,10.49
287,Kruisfontein,ZA,2021-04-25 00:05:41,-34.0033,24.7314,59.0,93,63,1.99
288,Okahandja,NA,2021-04-25 00:05:42,-21.9833,16.9167,60.01,44,17,9.22
289,Ambulu,ID,2021-04-25 00:05:08,-8.345,113.6058,77.23,78,4,2.21
290,Valparaiso,CL,2021-04-25 00:05:14,-33.0393,-71.6273,57.99,82,0,4.61
